海南海药 (000566) EPS:0.13 safe_price:1.4942528731000002 close:12.89 open:12.78
海德股份 (000567) EPS:0.37 safe_price:4.2528735619 close:22.47 open:22.7
泸州老窖 (000568) EPS:1.42 safe_price:16.3218390754 close:66.99 open:66.9
苏常柴A (000570) EPS:0.08 safe_price:0.9195402296 close:5.61 open:5.55
新大洲A (000571) EPS:0.08 safe_price:0.9195402296 close:5.49 open:5.48
海马汽车 (000572) EPS:-0.04 safe_price:-0.4597701148 close:4.6 open:4.56
粤宏远A (000573) EPS:0.09 safe_price:1.0344827583 close:4.95 open:4.93
广东甘化 (000576) EPS:-0.07 safe_price:-0.8045977009000002 close:16.91 open:16.92
威孚高科 (000581) EPS:1.84 safe_price:21.149425280800003 close:24.03 open:23.58
北部湾港 (000582) EPS:0.41 safe_price:4.7126436767 close:9.7 open:9.71
哈工智能 (000584) EPS:0.1 safe_price:1.1494252870000001 close:14.79 open:14.64
东北电气 (000585) EPS:-0.03 safe_price:-0.34482758609999997 close:5.26 open:5.25
汇源通信 (000586) EPS:0.01 safe_price:0.1149425287 close:18.27 open:18.25
金洲慈航 (000587) EPS:0.34 safe_price:3.9080459758000003 close:6.86 open:6.76
黔轮胎A (000589) EPS:-0.02 safe_price:-0.2298850574 close:4.67 open:4.64
启迪古汉 (000590) EPS:0.06 safe_price:0.6896551721999999 close:13.78 open:13.4
太阳能 (000591) EPS:0.23 safe_price:2.6436781601000003 close:5.73 open:5.7
平潭发展 (000592) EPS:0.01 safe_price:0.1149425287 close:5.75 open:5.77
大通燃气 (000593) EPS:0.01 safe_price:0.1149425287 close:8.95 open:9.08
国恒退 (000594) EPS:-0.04 safe_price:-0.4597701148 close:1.17 open:1.18
*ST宝实 (000595) EPS:0.03 safe_price:0.34482758609999997 close:5.37 open:5.36
古井贡酒 (000596) EPS:1.58 safe_price:18.1609195346 close:66.57 open:65.65
东北制药 (000597) EPS:0.17 safe_price:1.9540229879000002 close:12.26 open:12.3
兴蓉环境 (000598) EPS:0.25 safe_price:2.8735632175 close:5.33 open:5.32
青岛双星 (000599) EPS:0.16 safe_price:1.8390804592 close:6.23 open:6.25
建投能源 (000600) EPS:0.13 safe_price:1.4942528731000002 close:7.96 open:7.99
韶能股份 (000601) EPS:0.4 safe_price:4.5977011480000005 close:7.2 open:7.16
金马退市 (000602) EPS:0.18 safe_price:2.0689655166 close:13.41 open:0.0
盛达矿业 (000603) EPS:0.24 safe_price:2.7586206887999998 close:11.68 open:11.69
渤海股份 (000605) EPS:0.27 safe_price:3.1034482749000003 close:18.36 open:18.29
神州易桥 (000606) EPS:-0.07 safe_price:-0.8045977009000002 close:9.14 open:9.05
华媒控股 (000607) EPS:0.09 safe_price:1.0344827583 close:6.36 open:6.27
阳光股份 (000608) EPS:0.4 safe_price:4.5977011480000005 close:6.22 open:6.19
绵石投资 (000609) EPS:0.42 safe_price:4.8275862054 close:10.84 open:10.83
西安旅游 (000610) EPS:-0.05 safe_price:-0.5747126435000001 close:12.57 open:12.57
天首发展 (000611) EPS:-0.03 safe_price:-0.34482758609999997 close:7.6 open:7.78
焦作万方 (000612) EPS:0.23 safe_price:2.6436781601000003 close:9.1 open:9.12
*ST东海A (000613) EPS:0.0 safe_price:0.0 close:6.86 open:6.85
京汉股份 (000615) EPS:-0.12 safe_price:-1.3793103443999999 close:10.25 open:10.21
海航投资 (000616) EPS:0.0 safe_price:0.0 close:3.43 open:3.4
中油资本 (000617) EPS:0.55 safe_price:6.321839078500001 close:13.75 open:13.62
海螺型材 (000619) EPS:0.01 safe_price:0.1149425287 close:8.21 open:8.15
新华联 (000620) EPS:0.13 safe_price:1.4942528731000002 close:5.9 open:5.8
恒立实业 (000622) EPS:-0.03 safe_price:-0.34482758609999997 close:4.95 open:4.92
吉林敖东 (000623) EPS:1.18 safe_price:13.5632183866 close:21.91 open:21.81
长安汽车 (000625) EPS:1.21 safe_price:13.9080459727 close:12.72 open:12.74
远大控股 (000626) EPS:0.41 safe_price:4.7126436767 close:13.37 open:13.27
天茂集团 (000627) EPS:0.2 safe_price:2.2988505740000003 close:9.12 open:8.9
高新发展 (000628) EPS:0.08 safe_price:0.9195402296 close:8.51 open:8.45
*ST钒钛 (000629) EPS:0.08 safe_price:0.9195402296 close:3.07 open:3.05
铜陵有色 (000630) EPS:0.04 safe_price:0.4597701148 close:2.73 open:2.73
顺发恒业 (000631) EPS:0.26 safe_price:2.9885057462000004 close:4.06 open:4.01
三木集团 (000632) EPS:0.0 safe_price:0.0 close:6.33 open:6.27
合金投资 (000633) EPS:-0.05 safe_price:-0.5747126435000001 close:8.83 open:8.62
英力特 (000635) EPS:0.35 safe_price:4.0229885045 close:14.87 open:14.8
风华高科 (000636) EPS:0.2 safe_price:2.2988505740000003 close:11.3 open:11.44
茂化实华 (000637) EPS:0.15 safe_price:1.7241379305 close:5.72 open:5.71
万方发展 (000638) EPS:0.08 safe_price:0.9195402296 close:11.14 open:12.11
西王食品 (000639) EPS:0.45 safe_price:5.1724137915 close:19.94 open:19.61
仁和药业 (000650) EPS:0.21 safe_price:2.4137931027 close:5.27 open:5.28
格力电器 (000651) EPS:2.57 safe_price:29.5402298759 close:44.58 open:43.75
泰达股份 (000652) EPS:0.04 safe_price:0.4597701148 close:4.56 open:4.56
金岭矿业 (000655) EPS:0.16 safe_price:1.8390804592 close:7.72 open:7.67
金科股份 (000656) EPS:0.15 safe_price:1.7241379305 close:4.56 open:4.57
中钨高新 (000657) EPS:0.2 safe_price:2.2988505740000003 close:12.18 open:12.16
*ST中富 (000659) EPS:0.03 safe_price:0.34482758609999997 close:4.27 open:4.15
长春高新 (000661) EPS:2.86 safe_price:32.8735632082 close:181.58 open:177.0
天夏智慧 (000662) EPS:0.25 safe_price:2.8735632175 close:15.43 open:15.37
永安林业 (000663) EPS:0.09 safe_price:1.0344827583 close:18.4 open:18.22
湖北广电 (000665) EPS:0.39 safe_price:4.4827586193 close:10.13 open:10.05
经纬纺机 (000666) EPS:1.18 safe_price:13.5632183866 close:20.5 open:20.25
美好置业 (000667) EPS:0.15 safe_price:1.7241379305 close:3.04 open:3.03
荣丰控股 (000668) EPS:-0.14 safe_price:-1.6091954018000003 close:14.78 open:14.61
金鸿控股 (000669) EPS:0.4 safe_price:4.5977011480000005 close:13.89 open:13.9
盈方微 (000670) EPS:-0.02 safe_price:-0.2298850574 close:7.02 open:6.95
阳光城 (000671) EPS:0.15 safe_price:1.7241379305 close:7.19 open:6.88
上峰水泥 (000672) EPS:0.56 safe_price:6.436781607200001 close:10.0 open:10.0
当代东方 (000673) EPS:0.04 safe_price:0.4597701148 close:11.48 open:10.96
智度股份 (000676) EPS:0.34 safe_price:3.9080459758000003 close:11.84 open:11.44
恒天海龙 (000677) EPS:0.0 safe_price:0.0 close:4.32 open:4.31
襄阳轴承 (000678) EPS:0.02 safe_price:0.2298850574 close:8.06 open:8.02
大连友谊 (000679) EPS:0.02 safe_price:0.2298850574 close:7.32 open:7.21
山推股份 (000680) EPS:0.05 safe_price:0.5747126435000001 close:4.85 open:4.84
视觉中国 (000681) EPS:0.23 safe_price:2.6436781601000003 close:20.62 open:20.76
东方电子 (000682) EPS:0.04 safe_price:0.4597701148 close:4.69 open:4.66
远兴能源 (000683) EPS:0.13 safe_price:1.4942528731000002 close:3.03 open:3.03
中山公用 (000685) EPS:0.55 safe_price:6.321839078500001 close:10.26 open:10.27
东北证券 (000686) EPS:0.27 safe_price:3.1034482749000003 close:9.01 open:8.95
华讯方舟 (000687) EPS:0.07 safe_price:0.8045977009000002 close:11.2 open:11.16
建新矿业 (000688) EPS:0.31 safe_price:3.5632183897000003 close:10.95 open:11.16
宝新能源 (000690) EPS:0.15 safe_price:1.7241379305 close:7.84 open:7.9
亚太实业 (000691) EPS:-0.02 safe_price:-0.2298850574 close:7.69 open:7.44
惠天热电 (000692) EPS:-0.22 safe_price:-2.5287356314 close:4.92 open:4.84
*ST华泽 (000693) EPS:-0.21 safe_price:-2.4137931027 close:12.5 open:0.0
滨海能源 (000695) EPS:-0.05 safe_price:-0.5747126435000001 close:11.73 open:11.49
炼石有色 (000697) EPS:-0.34 safe_price:-3.9080459758000003 close:22.96 open:22.86
沈阳化工 (000698) EPS:0.22 safe_price:2.5287356314 close:5.86 open:5.82
模塑科技 (000700) EPS:0.18 safe_price:2.0689655166 close:5.7 open:5.64
厦门信达 (000701) EPS:0.05 safe_price:0.5747126435000001 close:10.38 open:10.19
正虹科技 (000702) EPS:0.06 safe_price:0.6896551721999999 close:7.19 open:7.14
恒逸石化 (000703) EPS:0.83 safe_price:9.5402298821 close:19.3 open:18.36
浙江震元 (000705) EPS:0.14 safe_price:1.6091954018000003 close:8.36 open:8.29
双环科技 (000707) EPS:0.07 safe_price:0.8045977009000002 close:5.62 open:5.55
大冶特钢 (000708) EPS:0.62 safe_price:7.1264367794000005 close:11.41 open:11.47
河钢股份 (000709) EPS:0.21 safe_price:2.4137931027 close:3.95 open:3.95
贝瑞基因 (000710) EPS:0.48 safe_price:5.5172413775999996 close:54.35 open:53.0
京蓝科技 (000711) EPS:0.21 safe_price:2.4137931027 close:12.14 open:12.1
锦龙股份 (000712) EPS:0.22 safe_price:2.5287356314 close:17.83 open:17.9
丰乐种业 (000713) EPS:-0.14 safe_price:-1.6091954018000003 close:7.46 open:7.37
中兴商业 (000715) EPS:0.19 safe_price:2.1839080453 close:9.57 open:9.51
黑芝麻 (000716) EPS:0.15 safe_price:1.7241379305 close:5.29 open:5.3
韶钢松山 (000717) EPS:0.72 safe_price:8.2758620664 close:8.63 open:8.68
苏宁环球 (000718) EPS:0.18 safe_price:2.0689655166 close:4.53 open:4.55
大地传媒 (000719) EPS:0.46 safe_price:5.287356320200001 close:9.25 open:9.2
新能泰山 (000720) EPS:-0.45 safe_price:-5.1724137915 close:4.52 open:4.79
西安饮食 (000721) EPS:-0.01 safe_price:-0.1149425287 close:5.84 open:5.84
湖南发展 (000722) EPS:0.2 safe_price:2.2988505740000003 close:9.05 open:9.04
美锦能源 (000723) EPS:0.21 safe_price:2.4137931027 close:7.19 open:7.27
京东方A (000725) EPS:0.19 safe_price:2.1839080453 close:5.65 open:5.52
鲁泰A (000726) EPS:0.64 safe_price:7.3563218368 close:10.68 open:10.62
华东科技 (000727) EPS:-0.06 safe_price:-0.6896551721999999 close:2.45 open:2.44
国元证券 (000728) EPS:0.3 safe_price:3.448275861 close:11.48 open:11.45
燕京啤酒 (000729) EPS:0.22 safe_price:2.5287356314 close:6.24 open:6.28
四川美丰 (000731) EPS:0.23 safe_price:2.6436781601000003 close:7.94 open:7.75
泰禾集团 (000732) EPS:1.15 safe_price:13.2183908005 close:16.52 open:16.5
振华科技 (000733) EPS:0.37 safe_price:4.2528735619 close:15.63 open:15.63
罗牛山 (000735) EPS:0.13 safe_price:1.4942528731000002 close:7.84 open:7.81
中交地产 (000736) EPS:-0.36 safe_price:-4.1379310332 close:15.11 open:14.96
南风化工 (000737) EPS:-0.46 safe_price:-5.287356320200001 close:5.03 open:4.99
航发控制 (000738) EPS:0.16 safe_price:1.8390804592 close:16.5 open:16.62
普洛药业 (000739) EPS:0.14 safe_price:1.6091954018000003 close:6.3 open:6.27
长城信息 (000748) EPS:0.19 safe_price:2.1839080453 close:20.31 open:20.5
国海证券 (000750) EPS:0.13 safe_price:1.4942528731000002 close:5.05 open:5.02
锌业股份 (000751) EPS:0.09 safe_price:1.0344827583 close:4.93 open:4.94
西藏发展 (000752) EPS:0.04 safe_price:0.4597701148 close:12.79 open:12.83
漳州发展 (000753) EPS:0.02 safe_price:0.2298850574 close:3.92 open:3.91
*ST三维 (000755) EPS:-0.72 safe_price:-8.2758620664 close:6.99 open:7.02
新华制药 (000756) EPS:0.38 safe_price:4.3678160906 close:14.96 open:14.83
浩物股份 (000757) EPS:0.06 safe_price:0.6896551721999999 close:7.03 open:6.95
中色股份 (000758) EPS:0.11 safe_price:1.2643678157 close:6.37 open:6.35
中百集团 (000759) EPS:0.19 safe_price:2.1839080453 close:10.1 open:10.2
斯太尔 (000760) EPS:0.09 safe_price:1.0344827583 close:6.23 open:6.24
本钢板材 (000761) EPS:0.43 safe_price:4.9425287341 close:5.24 open:5.23
西藏矿业 (000762) EPS:0.01 safe_price:0.1149425287 close:15.29 open:15.47
